date,vix,sp500_ret,dxy_ret,dy10,vvix,move,btc_ret,btc_dvol,btc_realized_vol,dvol_change,dvol_lag,is_friday,fomc_dummy,cpi_dummy,gdp_dummy,monthly_expiry,quarterly_expiry,regular_monthly
2022-01-03,16.6,0.6353848835552743,0.5659713986790047,0.1178999999999999,108.45,84.08,-2.217239668923186,71.94,,,,0,0,0,0,0,0,0
2022-01-04,16.91,-0.06298161854054529,0.050915704438059164,0.019300000000000095,109.31,83.11,0.4839862282657921,72.52,,0.5799999999999983,71.94,0,0,0,0,0,0,0
2022-01-05,19.73,-1.9583272775802296,-0.09457837978240259,0.05790000000000006,119.31,78.68,-5.827555455905568,75.64,,3.1200000000000045,72.52,0,0,0,0,0,0,0
2022-01-06,19.61,-0.09641755290858113,0.1548124637088224,0.015900000000000025,117.82,77.73,-1.1138802665464778,73.19,,-2.450000000000003,75.64,0,0,0,0,0,0,0
2022-01-07,18.76,-0.40584367372055774,-0.6259165712394387,0.040899999999999936,113.86,74.69,-2.915716337104368,73.86,,0.6700000000000017,73.19,1,0,0,0,0,0,0
2022-01-10,19.4,-0.14421248375173315,0.2837621224913951,-0.0017000000000000348,113.02,78.12,-1.3940945714214061,74.1,,0.23999999999999488,73.86,0,0,0,0,0,0,0
2022-01-11,18.41,0.9118332112991406,-0.3830602497350474,-0.024599999999999955,111.61,77.85,2.269698972259335,75.37,2.567325666221121,1.2700000000000102,74.1,0,0,1,0,0,0,0
2022-01-12,17.62,0.28137340560308904,-0.7442080333174468,0.007099999999999884,113.94,74.55,2.5591733871931295,71.81,2.959262263241664,-3.5600000000000023,75.37,0,0,1,0,0,0,0
2022-01-13,20.31,-1.4345962458906216,-0.13178357775549113,-0.03869999999999996,123.44,72.57,-2.2286612958776426,67.51,2.9332115004723645,-4.299999999999997,71.81,0,0,1,0,0,0,0
2022-01-14,19.19,0.08195772127140057,0.39483086747970986,0.08000000000000007,117.57,76.59,1.1447793971256568,65.13,2.2083707035913327,-2.3800000000000097,67.51,1,0,0,0,0,0,0
2022-01-18,22.79,-1.8559054584436703,0.4963620851166105,0.08939999999999992,127.95,84.63,1.5480131194733382,67.27,2.261323489190143,2.1400000000000006,65.13,0,0,0,0,0,0,0
2022-01-19,23.85,-0.9736769104655738,-0.23216667857219442,-0.008899999999999908,129.85,80.14,-1.595384448916495,65.96,2.00438754247238,-1.3100000000000023,67.27,0,0,0,0,0,0,0
2022-01-20,25.59,-1.1098789654240206,0.2353003778522176,-0.06059999999999999,135.6,80.96,-0.9571301538698719,65.24,1.9477829302508889,-0.7199999999999989,65.96,0,0,0,0,0,0,0
2022-01-21,28.85,-1.9095986358635348,-0.09719037012872637,-0.04590000000000005,149.5,81.03,-11.894136993107052,77.8,4.85649345268809,12.560000000000002,65.24,1,0,0,0,0,0,0
2022-01-24,29.9,0.2767918007616829,0.28816056690746195,0.012499999999999956,154.38,83.77,4.056055674187612,78.59,5.098706402105754,0.7900000000000063,77.8,0,0,0,0,0,0,0
2022-01-25,31.16,-1.2246661962160472,0.03127182538278173,-0.0017000000000000348,150.8,84.57,-0.6773391945225404,81.26,5.091310480868674,2.6700000000000017,78.59,0,1,0,0,0,0,0
2022-01-26,31.96,-0.14977525030699157,0.5508625032319995,0.0948,148.55,85.75,-0.6116302489146616,80.39,4.999143369094194,-0.8700000000000045,81.26,0,1,0,1,0,0,0
2022-01-27,30.49,-0.5398540617999041,0.8021391979551716,-0.0642999999999998,141.14,85.62,-0.4348393228321238,80.14,4.855235220953064,-0.25,80.39,0,1,0,1,0,0,0
2022-01-28,27.66,2.4055891707799004,0.015422182269361588,-0.030000000000000027,132.44,85.29,4.348928508604775,74.77,5.374860446796307,-5.3700000000000045,80.14,1,0,0,1,1,0,1
2022-01-31,24.83,1.8709891511396817,-0.7533186649002074,0.007299999999999862,125.06,85.14,1.7940365861802758,70.99,5.468179618758921,-3.780000000000001,74.77,0,0,0,0,0,0,0
