expiry_date,expiry_id,is_quarterly
2022-01-28,2022-01,0
2022-02-25,2022-02,0
2022-03-25,2022-03,1
2022-04-29,2022-04,0
2022-05-27,2022-05,0
2022-06-24,2022-06,1
2022-07-29,2022-07,0
2022-08-26,2022-08,0
2022-09-30,2022-09,1
2022-10-28,2022-10,0
2022-11-25,2022-11,0
2022-12-30,2022-12,1
2023-01-27,2023-01,0
2023-02-24,2023-02,0
2023-03-31,2023-03,1
2023-04-28,2023-04,0
2023-05-26,2023-05,0
2023-06-30,2023-06,1
2023-07-28,2023-07,0
2023-08-25,2023-08,0
2023-09-29,2023-09,1
2023-10-27,2023-10,0
2023-11-24,2023-11,0
2023-12-29,2023-12,1
2024-01-26,2024-01,0
2024-02-23,2024-02,0
2024-04-26,2024-04,0
2024-05-31,2024-05,0
2024-06-28,2024-06,1
2024-07-26,2024-07,0
2024-08-30,2024-08,0
2024-09-27,2024-09,1
2024-10-25,2024-10,0
2024-11-29,2024-11,0
2024-12-27,2024-12,1
2025-01-31,2025-01,0
2025-02-28,2025-02,0
2025-03-28,2025-03,1
2025-04-25,2025-04,0
2025-05-30,2025-05,0
2025-06-27,2025-06,1
2025-07-25,2025-07,0
2025-08-29,2025-08,0
2025-09-26,2025-09,1
2025-10-31,2025-10,0
2025-11-28,2025-11,0
2025-12-26,2025-12,1
