Feature,Importance,Correlation_with_abnormal_DVOL
10-day DVOL change,0.6408938641737832,0.7913280371148547
5-day DVOL change,0.2122312445297299,0.7519256633063335
10-day DVOL std. dev.,0.03201931223030352,-0.13697236036187327
5-day avg. MOVE index,0.02332233576127547,-0.2753996962307072
5-day avg. VVIX,0.023311905521141856,0.3105701855597865
5-day cumulative S&P 500 return,0.010273770634786997,-0.29284103113571297
5-day avg. DVOL level,0.009749190421365506,-0.11971710963381242
5-day VIX change,0.009731342605988184,0.183576982959092
5-day BTC realized vol.,0.00961261615933583,0.1290526679762546
5-day cumulative DXY return,0.009198813177154248,0.04649663459153201
5-day avg. VIX,0.007709250198229825,-0.10269285489295418
DVOL minus VIX spread,0.00709387245217108,-0.1005995269109113
5-day cumulative BTC return,0.004378764486872078,-0.15757862452167617
Quarterly expiration indicator,0.00047371764786257616,0.044490559952798145
