Variable,(1) Baseline,(2) Quarterly split,(3) Controls,(4) Quarterly split + Full controls,(5) Lagged DVOL
Monthly expiration,-2.474,—,-1.066,—,-1.241**
,(2.042),,(1.300),,(0.504)
Regular Monthly expiration,—,-2.277,—,-2.273,—
,,(2.269),,(1.472),
Quarterly expiration,—,-2.895,—,1.448,—
,,(3.861),,(2.453),
Friday indicator,-0.799,-0.799,-0.658,-0.656,-0.872***
,(0.701),(0.701),(0.547),(0.545),(0.284)
Lagged BTC-DVOL,—,—,—,—,0.946***
,,,,,(0.010)
Market controls,None,None,Full,Full,"VIX, S&P 500, BTC Return"
Macro controls,No,No,Yes,Yes,Yes
Observations,"1,003","1,003",990,990,"1,002"
R²,0.0026,0.0027,0.5691,0.5698,0.9390
