Predictor,Importance,Correlation with Abnormal DVOL
10-day DVOL change,0.641,0.791
5-day DVOL change,0.212,0.752
10-day DVOL standard deviation,0.032,-0.137
5-day average MOVE index,0.023,-0.275
5-day average VVIX,0.023,0.311
5-day cumulative S&P 500 return,0.010,-0.293
5-day average DVOL level,0.010,-0.120
5-day VIX change,0.010,0.184
5-day BTC realized volatility,0.010,0.129
5-day cumulative DXY return,0.009,0.046
5-day average VIX,0.008,-0.103
DVOL minus VIX spread,0.007,-0.101
5-day cumulative BTC return,0.004,-0.158
Quarterly expiration indicator,0.000,0.044
