Predictor,Expiration-Day Abnormal BTC-DVOL
5-day average DVOL level,0.046
,(0.083)
5-day DVOL change,0.280
,(0.224)
10-day DVOL change,0.264**
,(0.119)
10-day DVOL standard deviation,-0.051
,(0.285)
5-day average VIX,-0.196
,(0.202)
5-day VIX change,0.093
,(0.294)
5-day BTC realized volatility,-0.625
,(0.655)
5-day cumulative BTC return,-0.132
,(0.130)
5-day cumulative S&P 500 return,0.458
,(0.563)
5-day cumulative DXY return,-0.187
,(0.836)
5-day average VVIX,0.053
,(0.076)
5-day average MOVE index,-0.026
,(0.032)
Quarterly expiration indicator,-0.268
,(1.088)
Observations,46
R²,0.7731
Adjusted R²,0.6810
